RA[deg],DEC[deg],Reff[arcsec],PetroMag_i,CLASS,z
194.70083,27.82361,1.5,17.350255966186523,1,0.021
194.70208,28.51722,1.3,17.859670639038086,1,0.021
194.70292,27.84639,1.5,17.54175567626953,1,0.021
194.705,28.05778,1.7,17.833023071289062,1,0.021
194.70583,28.42833,1.1,15.705602645874023,1,0.021
194.70625,27.70472,1.7,16.02789306640625,1,0.021
194.70708,28.6175,1.0,18.27145767211914,1,0.021
194.71,27.80528,2.4,17.278425216674805,1,0.021
194.71042,27.74611,1.6,18.0380802154541,1,0.021
194.71167,28.29306,1.0,15.22436237335205,1,0.021
194.71292,27.80917,1.5,15.22436237335205,1,0.021
194.71583,27.87222,1.4,18.266775131225586,1,0.021
194.71708,28.26306,2.8,16.3311767578125,1,0.021
194.71708,28.57389,1.1,18.18000030517578,1,0.021
194.71792,28.2025,1.1,16.788249969482422,1,0.021
194.72292,28.35861,0.9,15.344616889953613,1,0.021
194.72333,28.28917,5.2,18.709999084472656,1,0.021
194.72625,27.86056,1.5,18.211759567260742,1,0.021
194.72667,28.62278,2.2,17.930557250976562,1,0.021
194.72708,28.08722,2.0,15.3349609375,1,0.021
194.72708,28.48056,1.3,18.600000381469727,1,0.021
194.7275,28.27389,2.2,21.704517364501953,1,0.021
194.72833,28.65444,2.5,18.097543716430664,1,0.021
194.7325,27.75806,1.1,17.854732513427734,1,0.021
194.73333,27.86278,2.1,17.148910522460938,1,0.021
194.73458,27.96722,1.1,17.182395935058594,1,0.021
194.735,27.86194,2.1,15.641311645507812,1,0.021
194.73625,27.80056,2.1,18.100000381469727,1,0.021
194.73667,27.77917,1.2,18.12322235107422,1,0.021
194.7375,27.78889,2.2,18.006847381591797,1,0.021
194.73833,28.13833,1.3,19.270000457763672,1,0.021
194.73875,28.28889,1.0,17.619035720825195,1,0.021
194.74167,28.21722,1.3,18.700000762939453,1,0.021
194.74167,28.57028,1.1,17.03772735595703,1,0.021
194.74208,28.68889,1.0,16.468259811401367,1,0.021
194.74292,28.71139,1.3,16.61566162109375,1,0.021
194.74417,27.94056,1.1,17.9591121673584,1,0.021
194.74458,28.23917,1.4,17.831785202026367,1,0.021
194.74542,28.67472,1.7,19.479999542236328,1,0.021
194.74583,27.81889,1.2,17.9591121673584,1,0.021
194.74583,28.67361,2.3,17.831785202026367,1,0.021
194.75208,28.37417,3.2,19.479999542236328,1,0.021
194.7525,28.71278,1.1,17.9591121673584,1,0.021
194.75333,27.70833,1.7,17.831785202026367,1,0.021
194.75417,28.44111,1.1,19.479999542236328,1,0.021
194.755,28.59444,1.9,17.389318466186523,1,0.021
194.75833,28.28056,1.0,18.066082000732422,1,0.021
194.76167,27.82194,1.7,17.020111083984375,1,0.021
194.7625,27.78306,2.0,18.34785270690918,1,0.021
194.76667,27.995,4.9,18.66232681274414,1,0.021
